AllSubjects,Age,Gender,MelodyScore,PercentageMelodyScore,RhythmScore,PercentageOfRhythmScore,TotalMETScore,PercentageOfTotalMETScore,F1,F2,F3,F4,F5,GS,IQ,VCI,PRI,WMI,PSI
1,25,1,33,63.4615384615385,39,75,72,69.2307692307692,28,42,14,24,18,54,107,112,114,108,87
1,26,2,37,71.1538461538462,39,75,76,73.0769230769231,33,47,9,31,33,65,119,126,96,130,120
1,34,1,39,75,37,71.1538461538462,76,73.0769230769231,29,39,3,27,20,44,112,108,110,105,123
1,21,1,36,69.2307692307692,36,69.2307692307692,72,69.2307692307692,17,30,14,22,17,44,98,83,112,93,106
1,23,1,36,69.2307692307692,33,63.4615384615385,69,66.3461538461538,35,40,7,34,26,65,134,118,150,122,125
1,47,1,43,82.6923076923077,44,84.6153846153846,87,83.6538461538462,36,45,7,39,28,68,111,116,124,88,104
1,28,2,25,48.0769230769231,36,69.2307692307692,61,58.6538461538462,23,37,14,28,20,51,114,114,96,108,134
1,25,2,41,78.8461538461538,37,71.1538461538462,78,75,36,47,11,24,25,60,116,112,122,125,95
1,21,1,44,84.6153846153846,43,82.6923076923077,87,83.6538461538462,34,46,3,37,24,61,126,124,132,119,114
1,25,1,37,71.1538461538462,34,65.3846153846154,71,68.2692307692308,33,42,9,26,24,58,124,129,110,105,139
1,24,1,39,75,35,67.3076923076923,74,71.1538461538462,35,45,3,34,33,64,112,99,110,108,134
1,23,1,44,84.6153846153846,44,84.6153846153846,88,84.6153846153846,24,39,5,26,20,47,102,97,98,99,120
1,29,1,40,76.9230769230769,42,80.7692307692308,82,78.8461538461538,14,34,11,26,16,49,112,104,116,108,114
1,18,2,32,61.5384615384615,34,65.3846153846154,66,63.4615384615385,23,40,8,23,23,51,115,114,112,125,104
1,22,1,40,76.9230769230769,31,59.6153846153846,71,68.2692307692308,28,42,8,32,26,61,118,104,134,99,125
1,23,1,32,61.5384615384615,32,61.5384615384615,64,61.5384615384615,24,39,8,30,19,54,104,120,96,90,106
1,22,2,42,80.7692307692308,41,78.8461538461538,83,79.8076923076923,26,46,8,24,18,53,132,124,146,125,112
1,30,1,33,63.4615384615385,34,65.3846153846154,67,64.4230769230769,25,42,3,29,25,53,90,99,84,79,104
1,28,2,28,53.8461538461538,30,57.6923076923077,58,55.7692307692308,27,28,5,25,16,42,104,108,104,88,112
1,38,2,38,73.0769230769231,38,73.0769230769231,76,73.0769230769231,34,44,9,29,22,57,113,99,124,102,123
1,25,2,34,65.3846153846154,36,69.2307692307692,70,67.3076923076923,32,41,8,29,19,55,122,118,112,122,128
1,23,1,32,61.5384615384615,41,78.8461538461538,73,70.1923076923077,25,41,9,40,20,59,108,102,108,90,128
1,22,2,33,63.4615384615385,40,76.9230769230769,73,70.1923076923077,25,44,9,32,26,58,108,108,100,119,104
1,22,1,38,73.0769230769231,43,82.6923076923077,81,77.8846153846154,25,39,5,31,24,53,132,106,142,116,150
1,20,1,40,76.9230769230769,38,73.0769230769231,78,75,30,33,9,20,21,49,134,124,130,139,128
1,25,1,31,59.6153846153846,46,88.4615384615385,77,74.0384615384615,27,39,13,24,26,55,111,102,98,119,128
1,20,1,36,69.2307692307692,35,67.3076923076923,71,68.2692307692308,30,42,4,37,26,59,113,112,114,108,112
1,47,2,37,71.1538461538462,40,76.9230769230769,77,74.0384615384615,31,43,13,25,23,58,132,131,118,133,134
1,25,1,29,55.7692307692308,34,65.3846153846154,63,60.5769230769231,15,34,14,12,15,37,105,104,96,108,114
1,22,2,32,61.5384615384615,30,57.6923076923077,62,59.6153846153846,27,40,14,20,23,61,107,112,108,99,104
1,21,1,31,59.6153846153846,43,82.6923076923077,74,71.1538461538462,32,42,14,26,22,62,124,124,118,113,128
1,29,1,33,63.4615384615385,39,75,72,69.2307692307692,29,42,10,19,23,55,116,110,120,105,120
1,29,2,33,63.4615384615385,32,61.5384615384615,65,62.5,33,41,13,22,16,61,103,108,100,102,101
1,22,1,32,61.5384615384615,35,67.3076923076923,67,64.4230769230769,16,38,14,20,23,51,96,95,100,88,106
1,24,1,31,59.6153846153846,39,75,70,67.3076923076923,32,45,14,26,25,61,99,97,108,82,109
1,24,1,35,67.3076923076923,33,63.4615384615385,68,65.3846153846154,29,41,13,27,20,58,98,100,92,93,112
1,24,1,33,63.4615384615385,30,57.6923076923077,63,60.5769230769231,24,41,13,26,24,58,113,106,112,110,120
1,25,1,28,53.8461538461538,35,67.3076923076923,63,60.5769230769231,22,39,8,22,21,51,116,106,118,108,128
1,24,1,37,71.1538461538462,37,71.1538461538462,74,71.1538461538462,22,37,9,32,21,53,122,116,118,110,134
1,26,1,44,84.6153846153846,45,86.5384615384615,89,85.5769230769231,40,45,2,43,31,72,117,110,98,119,142
1,25,2,29,55.7692307692308,33,63.4615384615385,62,59.6153846153846,22,32,13,28,26,55,106,97,100,119,114
1,27,2,39,75,37,71.1538461538462,76,73.0769230769231,29,49,9,38,13,71,102,110,100,99,95
1,28,2,33,63.4615384615385,27,51.9230769230769,60,57.6923076923077,33,41,12,31,30,66,83,93,78,79,93
1,22,2,39,75,43,82.6923076923077,82,78.8461538461538,34,43,10,31,28,66,107,104,98,105,123
